	AST	BB2	BB6	BEKN21	BXG9	CHH876	CZN11	FRC11	GBEL7568	GRK1	HUH02	ILM18	IRGG11	Iinb1	KE11	MNDM1	MOS0106	MZS19	SEG420	Spb09	Spb35	VOL39	VOL56	VV2	Xinb3
AST	0	567798.57	567798.57	3265014.67	1407217.39	2934899.35	2338791.27	3372933.3	3502357.86	2059072.66	2181810.63	1915872.68	892298.86	2713229.57	5203524.76	4061193.65	1303387.21	1303387.21	2494605.83	1932549.48	1932549.48	377962.79	377962.79	377962.79	2232404.16
BB2	567798.57	0	0	2784582.79	892778.67	2516537.13	1918883.71	2998156.56	3015580.22	1880483.26	1812746.13	2156493.56	1381581.19	2291996.1	5578699.2	4238609.98	738388.28	738388.28	1931238.53	1365709.49	1365709.49	193888.07	193888.07	193888.07	1666391.77
BB6	567798.57	0	0	2784582.79	892778.67	2516537.13	1918883.71	2998156.56	3015580.22	1880483.26	1812746.13	2156493.56	1381581.19	2291996.1	5578699.2	4238609.98	738388.28	738388.28	1931238.53	1365709.49	1365709.49	193888.07	193888.07	193888.07	1666391.77
BEKN21	3265014.67	2784582.79	2784582.79	0	1893752.66	581681.7	997300.16	869425.13	243070.3	1925980.61	1255407.89	3384519.34	3680358.09	696047.6	6412571.57	6706260.58	2291978.27	2291978.27	1357101.08	1911991.78	1911991.78	2925764.74	2925764.74	2925764.74	1558700.24
BXG9	1407217.39	892778.67	892778.67	1893752.66	0	1667466.55	1085962.58	2182795.67	2123288.08	1434712.7	1058976.68	2328192.73	2021287.81	1445041.51	5800341.5	4977666.13	567267.38	567267.38	1168641.63	824406.42	824406.42	1046101.97	1046101.97	1046101.97	953641.35
CHH876	2934899.35	2516537.13	2516537.13	581681.7	1667466.55	0	598958.52	552643.51	786394.13	1369359.85	781194.19	2831332.48	3237610.78	224550.56	5835124.24	6626457.43	2162858.86	2162858.86	1539444.93	1939976.43	1939976.43	2629495.82	2629495.82	2629495.82	1655989.64
CZN11	2338791.27	1918883.71	1918883.71	997300.16	1085962.58	598958.52	0	1096834.76	1239429.81	1031130.37	284288.8	2442662.98	2687603.74	375207.85	5668234.12	6061983.83	1610937.87	1610937.87	1281685.86	1499985.81	1499985.81	2030546.71	2030546.71	2030546.71	1300606.58
FRC11	3372933.3	2998156.56	2998156.56	869425.13	2182795.67	552643.51	1096834.76	0	952248.45	1561094.02	1193292.55	2969563.12	3567932.91	753065.84	5688411.78	7157394.17	2698622.27	2698622.27	2070516.02	2492550.98	2492550.98	3093917.15	3093917.15	3093917.15	2202995.21
GBEL7568	3502357.86	3015580.22	3015580.22	243070.3	2123288.08	786394.13	1239429.81	952248.45	0	2149665.56	1494191.86	3610876.41	3923401.84	926957.12	6585013.62	6887946.99	2501957	2501957	1498274.34	2088719.19	2088719.19	3159985.01	3159985.01	3159985.01	1722392.76
GRK1	2059072.66	1880483.26	1880483.26	1925980.61	1434712.7	1369359.85	1031130.37	1561094.02	2149665.56	0	751087.49	1462046.79	2046667.28	1231697.27	4647478.85	6094224.26	1980274.18	1980274.18	2201593.13	2181511.89	2181511.89	1893469.46	1893469.46	1893469.46	2129466.48
HUH02	2181810.63	1812746.13	1812746.13	1255407.89	1058976.68	781194.19	284288.8	1193292.55	1494191.86	751087.49	0	2159832.07	2457712.71	579538.67	5395375.64	6017188.21	1618002.66	1618002.66	1498555.79	1617829.89	1617829.89	1901657.08	1901657.08	1901657.08	1475863.9
ILM18	1915872.68	2156493.56	2156493.56	3384519.34	2328192.73	2831332.48	2442662.98	2969563.12	3610876.41	1462046.79	2159832.07	0	1267992.22	2688588.84	3481536.18	5751897.09	2684413.32	2684413.32	3408168.54	3148954.8	3148954.8	2033206.61	2033206.61	2033206.61	3250108.41
IRGG11	892298.86	1381581.19	1381581.19	3680358.09	2021287.81	3237610.78	2687603.74	3567932.91	3923401.84	2046667.28	2457712.71	1267992.22	0	3035671.72	4332698.36	4484315.44	2100215.84	2100215.84	3185200.56	2705022.73	2705022.73	1194719.22	1194719.22	1194719.22	2948868.07
Iinb1	2713229.57	2291996.1	2291996.1	696047.6	1445041.51	224550.56	375207.85	753065.84	926957.12	1231697.27	579538.67	2688588.84	3035671.72	0	5782265.95	6409871.03	1947741.23	1947741.23	1406358.92	1754988.74	1754988.74	2405574.28	2405574.28	2405574.28	1493806.42
KE11	5203524.76	5578699.2	5578699.2	6412571.57	5800341.5	5835124.24	5668234.12	5688411.78	6585013.62	4647478.85	5395375.64	3481536.18	4332698.36	5782265.95	0	8074658.96	6161996.32	6161996.32	6817128.47	6624288.27	6624288.27	5425684.21	5425684.21	5425684.21	6693249.21
MNDM1	4061193.65	4238609.98	4238609.98	6706260.58	4977666.13	6626457.43	6061983.83	7157394.17	6887946.99	6094224.26	6017188.21	5751897.09	4484315.44	6409871.03	8074658.96	0	4463796.89	4463796.89	5413373.75	4799235.12	4799235.12	4202573.64	4202573.64	4202573.64	5169284.5
MOS0106	1303387.21	738388.28	738388.28	2291978.27	567267.38	2162858.86	1610937.87	2698622.27	2501957	1980274.18	1618002.66	2684413.32	2100215.84	1947741.23	6161996.32	4463796.89	0	0.1	1235967.27	630471.26	630471.26	932183.51	932183.51	932183.51	960064.61
MZS19	1303387.21	738388.28	738388.28	2291978.27	567267.38	2162858.86	1610937.87	2698622.27	2501957	1980274.18	1618002.66	2684413.32	2100215.84	1947741.23	6161996.32	4463796.89	0.1	0	1235967.27	630471.26	630471.26	932183.51	932183.51	932183.51	960064.61
SEG420	2494605.83	1931238.53	1931238.53	1357101.08	1168641.63	1539444.93	1281685.86	2070516.02	1498274.34	2201593.13	1498555.79	3408168.54	3185200.56	1406358.92	6817128.47	5413373.75	1235967.27	1235967.27	0	658594.31	658594.31	2116784.92	2116784.92	2116784.92	279263.75
Spb09	1932549.48	1365709.49	1365709.49	1911991.78	824406.42	1939976.43	1499985.81	2492550.98	2088719.19	2181511.89	1617829.89	3148954.8	2705022.73	1754988.74	6624288.27	4799235.12	630471.26	630471.26	658594.31	0	0	1558785.85	1558785.85	1558785.85	384421.33
Spb35	1932549.48	1365709.49	1365709.49	1911991.78	824406.42	1939976.43	1499985.81	2492550.98	2088719.19	2181511.89	1617829.89	3148954.8	2705022.73	1754988.74	6624288.27	4799235.12	630471.26	630471.26	658594.31	0	0	1558785.85	1558785.85	1558785.85	384421.33
VOL39	377962.79	193888.07	193888.07	2925764.74	1046101.97	2629495.82	2030546.71	3093917.15	3159985.01	1893469.46	1901657.08	2033206.61	1194719.22	2405574.28	5425684.21	4202573.64	932183.51	932183.51	2116784.92	1558785.85	1558785.85	0	0	0	1854501.66
VOL56	377962.79	193888.07	193888.07	2925764.74	1046101.97	2629495.82	2030546.71	3093917.15	3159985.01	1893469.46	1901657.08	2033206.61	1194719.22	2405574.28	5425684.21	4202573.64	932183.51	932183.51	2116784.92	1558785.85	1558785.85	0	0	0	1854501.66
VV2	377962.79	193888.07	193888.07	2925764.74	1046101.97	2629495.82	2030546.71	3093917.15	3159985.01	1893469.46	1901657.08	2033206.61	1194719.22	2405574.28	5425684.21	4202573.64	932183.51	932183.51	2116784.92	1558785.85	1558785.85	0	0	0	1854501.66
Xinb3	2232404.16	1666391.77	1666391.77	1558700.24	953641.35	1655989.64	1300606.58	2202995.21	1722392.76	2129466.48	1475863.9	3250108.41	2948868.07	1493806.42	6693249.21	5169284.5	960064.61	960064.61	279263.75	384421.33	384421.33	1854501.66	1854501.66	1854501.66	0
