INDV1	INDV2	RELATEDNESS
AST	AST	1.07689
AST	BB2	-0.0174613
AST	BB6	-0.0274223
AST	BEKN21	-0.137716
AST	BXG9	-0.048208
AST	CHH876	-0.121854
AST	CZN11	-0.0848614
AST	FRC11	-0.122056
AST	GBEL7568	-0.12436
AST	GRK1	-0.0737379
AST	HUH02	-0.0931945
AST	IRGG11	-0.0160846
AST	Iinb1	-0.0939744
AST	MOS0106	-0.0144811
AST	MZS19	-0.0087591
AST	SEG420	-0.0998001
AST	Spb09	-0.0903152
AST	Spb35	-0.0792628
AST	VOL39	0.0189481
AST	VOL56	-0.00487404
AST	VV2	0.0140592
AST	Xinb3	-0.0875187
BB2	BB2	1.04767
BB2	BB6	0.44101
BB2	BEKN21	-0.143941
BB2	BXG9	-0.0680367
BB2	CHH876	-0.117426
BB2	CZN11	-0.0839866
BB2	FRC11	-0.13609
BB2	GBEL7568	-0.119837
BB2	GRK1	-0.0728419
BB2	HUH02	-0.0676355
BB2	IRGG11	-0.0344227
BB2	Iinb1	-0.0948593
BB2	MOS0106	-0.0430416
BB2	MZS19	-0.0399845
BB2	SEG420	-0.104847
BB2	Spb09	-0.113641
BB2	Spb35	-0.10052
BB2	VOL39	-0.014038
BB2	VOL56	0.00134445
BB2	VV2	0.0310597
BB2	Xinb3	-0.0944382
BB6	BB6	1.24768
BB6	BEKN21	-0.136958
BB6	BXG9	-0.0615183
BB6	CHH876	-0.118334
BB6	CZN11	-0.0746913
BB6	FRC11	-0.139458
BB6	GBEL7568	-0.129166
BB6	GRK1	-0.0873165
BB6	HUH02	-0.0865955
BB6	IRGG11	-0.0614692
BB6	Iinb1	-0.0935106
BB6	MOS0106	-0.031144
BB6	MZS19	-0.0308367
BB6	SEG420	-0.0892855
BB6	Spb09	-0.112381
BB6	Spb35	-0.100255
BB6	VOL39	-0.0378252
BB6	VOL56	-0.0329829
BB6	VV2	-0.0176458
BB6	Xinb3	-0.0815781
BEKN21	BEKN21	1.21059
BEKN21	BXG9	-0.088618
BEKN21	CHH876	0.0743997
BEKN21	CZN11	-0.0296875
BEKN21	FRC11	0.0371269
BEKN21	GBEL7568	0.219389
BEKN21	GRK1	-0.0742561
BEKN21	HUH02	-0.0445239
BEKN21	IRGG11	-0.135176
BEKN21	Iinb1	-0.0349241
BEKN21	MOS0106	-0.131261
BEKN21	MZS19	-0.12408
BEKN21	SEG420	-0.0853405
BEKN21	Spb09	-0.0562963
BEKN21	Spb35	-0.0553649
BEKN21	VOL39	-0.150568
BEKN21	VOL56	-0.157345
BEKN21	VV2	-0.156154
BEKN21	Xinb3	-0.0873151
BXG9	BXG9	1.31066
BXG9	CHH876	-0.0548711
BXG9	CZN11	-0.0307065
BXG9	FRC11	-0.0968722
BXG9	GBEL7568	-0.0720661
BXG9	GRK1	-0.0612998
BXG9	HUH02	-0.04961
BXG9	IRGG11	-0.0945496
BXG9	Iinb1	-0.0176714
BXG9	MOS0106	-0.016902
BXG9	MZS19	-0.01707
BXG9	SEG420	-0.0695592
BXG9	Spb09	-0.0219813
BXG9	Spb35	-0.0328905
BXG9	VOL39	-0.0889468
BXG9	VOL56	-0.0874309
BXG9	VV2	-0.0830793
BXG9	Xinb3	-0.0677712
CHH876	CHH876	1.30047
CHH876	CZN11	0.000823999
CHH876	FRC11	-0.0248999
CHH876	GBEL7568	0.097173
CHH876	GRK1	-0.0675149
CHH876	HUH02	0.00370104
CHH876	IRGG11	-0.11027
CHH876	Iinb1	0.0472838
