INDV1	INDV2	RELATEDNESS
AST	AST	1.07341
AST	BB2	-0.0152445
AST	BB6	-0.0258193
AST	BEKN21	-0.129986
AST	BXG9	-0.0450868
AST	CHH876	-0.115823
AST	CZN11	-0.0791162
AST	FRC11	-0.116034
AST	GBEL7568	-0.117103
AST	GRK1	-0.0704321
AST	HUH02	-0.0886414
AST	ILM18	-0.0558702
AST	IRGG11	-0.0169387
AST	Iinb1	-0.0879354
AST	MOS0106	-0.0109339
AST	MZS19	-0.00590334
AST	SEG420	-0.0927745
AST	Spb09	-0.0838465
AST	Spb35	-0.0735558
AST	VOL39	0.0220374
AST	VOL56	-0.0021837
AST	VV2	0.0168239
AST	Xinb3	-0.0813273
BB2	BB2	1.04779
BB2	BB6	0.43476
BB2	BEKN21	-0.137653
BB2	BXG9	-0.0642527
BB2	CHH876	-0.109894
BB2	CZN11	-0.0779784
BB2	FRC11	-0.12996
BB2	GBEL7568	-0.113449
BB2	GRK1	-0.0675229
BB2	HUH02	-0.0630805
BB2	ILM18	-0.0861473
BB2	IRGG11	-0.0315522
BB2	Iinb1	-0.0876813
BB2	MOS0106	-0.037953
BB2	MZS19	-0.0359116
BB2	SEG420	-0.0968231
BB2	Spb09	-0.106072
BB2	Spb35	-0.0937444
BB2	VOL39	-0.00873744
BB2	VOL56	0.00572481
BB2	VV2	0.0347708
BB2	Xinb3	-0.0858085
BB6	BB6	1.24392
BB6	BEKN21	-0.129308
BB6	BXG9	-0.0570934
BB6	CHH876	-0.111005
BB6	CZN11	-0.0689838
BB6	FRC11	-0.13192
BB6	GBEL7568	-0.12159
BB6	GRK1	-0.0815611
BB6	HUH02	-0.0812412
BB6	ILM18	-0.0902413
BB6	IRGG11	-0.0573122
BB6	Iinb1	-0.0854327
BB6	MOS0106	-0.0267068
BB6	MZS19	-0.0263396
BB6	SEG420	-0.081719
BB6	Spb09	-0.104171
BB6	Spb35	-0.0936602
BB6	VOL39	-0.032615
BB6	VOL56	-0.0279678
BB6	VV2	-0.0132896
BB6	Xinb3	-0.0734705
BEKN21	BEKN21	1.2087
BEKN21	BXG9	-0.0821195
BEKN21	CHH876	0.0779748
BEKN21	CZN11	-0.0241556
BEKN21	FRC11	0.0389635
BEKN21	GBEL7568	0.219734
BEKN21	GRK1	-0.0691989
BEKN21	HUH02	-0.0413288
BEKN21	ILM18	-0.111565
BEKN21	IRGG11	-0.12781
BEKN21	Iinb1	-0.0301233
BEKN21	MOS0106	-0.122419
BEKN21	MZS19	-0.115825
BEKN21	SEG420	-0.0779107
BEKN21	Spb09	-0.0510785
BEKN21	Spb35	-0.0491895
BEKN21	VOL39	-0.142965
BEKN21	VOL56	-0.148065
BEKN21	VV2	-0.147913
BEKN21	Xinb3	-0.0783172
BXG9	BXG9	1.3069
BXG9	CHH876	-0.0498485
BXG9	CZN11	-0.0260692
BXG9	FRC11	-0.0906198
BXG9	GBEL7568	-0.06509
BXG9	GRK1	-0.0562847
BXG9	HUH02	-0.0453868
BXG9	ILM18	-0.0867771
BXG9	IRGG11	-0.0902879
BXG9	Iinb1	-0.0126755
BXG9	MOS0106	-0.0135547
BXG9	MZS19	-0.0119914
BXG9	SEG420	-0.0620904
BXG9	Spb09	-0.0170071
BXG9	Spb35	-0.0281704
BXG9	VOL39	-0.0833012
BXG9	VOL56	-0.0815058
BXG9	VV2	-0.0773597
BXG9	Xinb3	-0.060572
CHH876	CHH876	1.29664
CHH876	CZN11	0.00699686
CHH876	FRC11	-0.020318
CHH876	GBEL7568	0.102545
CHH876	GRK1	-0.0633257
CHH876	HUH02	0.00632272
CHH876	ILM18	-0.104976
CHH876	IRGG11	-0.105101
CHH876	Iinb1	0.0513786
CHH876	MOS0106	-0.0872085
CHH876	MZS19	-0.0906687
CHH876	SEG420	-0.0722645
CHH876	Spb09	-0.0539633
CHH876	Spb35	-0.054659
CHH876	VOL39	-0.11188
CHH876	VOL56	-0.131031
CHH876	VV2	-0.128462
CHH876	Xinb3	-0.0719795
CZN11	CZN11	1.12005
CZN11	FRC11	-0.0438162
CZN11	GBEL7568	0.00426427
CZN11	GRK1	-0.0492845
CZN11	HUH02	0.0398566
CZN11	ILM18	-0.10324
CZN11	IRGG11	-0.0910616
CZN11	Iinb1	0.0666953
CZN11	MOS0106	-0.0730844
CZN11	MZS19	-0.0728961
CZN11	SEG420	-0.0587483
CZN11	Spb09	-0.0378114
CZN11	Spb35	-0.0356661
CZN11	VOL39	-0.0954472
CZN11	VOL56	-0.0966812
CZN11	VV2	-0.097052
CZN11	Xinb3	-0.0555423
FRC11	FRC11	1.24181
FRC11	GBEL7568	0.0160418
FRC11	GRK1	-0.0397016
FRC11	HUH02	-0.0384486
FRC11	ILM18	-0.078946
FRC11	IRGG11	-0.10969
FRC11	Iinb1	-0.0461661
FRC11	MOS0106	-0.121967
FRC11	MZS19	-0.11971
FRC11	SEG420	-0.0986617
FRC11	Spb09	-0.0818788
FRC11	Spb35	-0.0747375
FRC11	VOL39	-0.133974
FRC11	VOL56	-0.147694
FRC11	VV2	-0.14519
FRC11	Xinb3	-0.107811
GBEL7568	GBEL7568	1.25544
GBEL7568	GRK1	-0.0828808
GBEL7568	HUH02	-0.0364389
GBEL7568	ILM18	-0.111752
GBEL7568	IRGG11	-0.121119
GBEL7568	Iinb1	-0.026244
GBEL7568	MOS0106	-0.10113
GBEL7568	MZS19	-0.112426
GBEL7568	SEG420	-0.0763039
GBEL7568	Spb09	-0.0608197
GBEL7568	Spb35	-0.062612
GBEL7568	VOL39	-0.131481
GBEL7568	VOL56	-0.135384
GBEL7568	VV2	-0.135531
GBEL7568	Xinb3	-0.0835836
GRK1	GRK1	1.26723
GRK1	HUH02	0.0105664
GRK1	ILM18	-0.050672
GRK1	IRGG11	-0.0642732
GRK1	Iinb1	-0.0506253
GRK1	MOS0106	-0.0919926
GRK1	MZS19	-0.0861534
GRK1	SEG420	-0.108418
GRK1	Spb09	-0.07691
GRK1	Spb35	-0.0764808
GRK1	VOL39	-0.0760816
GRK1	VOL56	-0.0888051
GRK1	VV2	-0.0938721
GRK1	Xinb3	-0.10105
HUH02	HUH02	1.09024
HUH02	ILM18	-0.0679309
HUH02	IRGG11	-0.0768448
HUH02	Iinb1	0.0384613
HUH02	MOS0106	-0.0788466
HUH02	MZS19	-0.0888636
HUH02	SEG420	-0.0773716
HUH02	Spb09	-0.0463777
HUH02	Spb35	-0.0451655
HUH02	VOL39	-0.0702148
HUH02	VOL56	-0.0815848
HUH02	VV2	-0.0879789
HUH02	Xinb3	-0.088468
ILM18	ILM18	1.61521
ILM18	IRGG11	-0.0277581
ILM18	Iinb1	-0.104293
ILM18	MOS0106	-0.0978393
ILM18	MZS19	-0.0957421
ILM18	SEG420	-0.131563
ILM18	Spb09	-0.113787
ILM18	Spb35	-0.112705
ILM18	VOL39	-0.0889668
ILM18	VOL56	-0.107339
ILM18	VV2	-0.110203
ILM18	Xinb3	-0.132502
IRGG11	IRGG11	1.38644
IRGG11	Iinb1	-0.102819
IRGG11	MOS0106	-0.0743922
IRGG11	MZS19	-0.0792314
IRGG11	SEG420	-0.115465
IRGG11	Spb09	-0.111702
IRGG11	Spb35	-0.106565
IRGG11	VOL39	-0.0380234
IRGG11	VOL56	-0.0417353
IRGG11	VV2	-0.0614656
IRGG11	Xinb3	-0.111175
Iinb1	Iinb1	1.44326
Iinb1	MOS0106	-0.0801626
Iinb1	MZS19	-0.078733
Iinb1	SEG420	-0.0612044
Iinb1	Spb09	-0.0380709
Iinb1	Spb35	-0.041136
Iinb1	VOL39	-0.121161
Iinb1	VOL56	-0.110752
Iinb1	VV2	-0.108279
Iinb1	Xinb3	-0.0731312
MOS0106	MOS0106	1.16614
MOS0106	MZS19	0.450393
MOS0106	SEG420	-0.0804198
MOS0106	Spb09	-0.0654469
MOS0106	Spb35	-0.0872084
MOS0106	VOL39	-0.0427797
MOS0106	VOL56	-0.0370038
MOS0106	VV2	-0.029655
MOS0106	Xinb3	-0.0805082
MZS19	MZS19	1.16826
MZS19	SEG420	-0.0741242
MZS19	Spb09	-0.0718083
MZS19	Spb35	-0.0782276
MZS19	VOL39	-0.0458811
MZS19	VOL56	-0.04439
MZS19	VV2	-0.0351585
MZS19	Xinb3	-0.0727346
SEG420	SEG420	1.57954
SEG420	Spb09	-0.0407311
SEG420	Spb35	-0.036847
SEG420	VOL39	-0.101493
SEG420	VOL56	-0.105204
SEG420	VV2	-0.0982399
SEG420	Xinb3	0.387175
Spb09	Spb09	1.25695
Spb09	Spb35	0.530415
Spb09	VOL39	-0.107428
Spb09	VOL56	-0.12114
Spb09	VV2	-0.11645
Spb09	Xinb3	-0.037897
Spb35	Spb35	1.24932
Spb35	VOL39	-0.100026
Spb35	VOL56	-0.114066
Spb35	VV2	-0.104673
Spb35	Xinb3	-0.02834
VOL39	VOL39	1.10718
VOL39	VOL56	0.234307
VOL39	VV2	0.287399
VOL39	Xinb3	-0.0917556
VOL56	VOL56	1.05813
VOL56	VV2	0.454293
VOL56	Xinb3	-0.101199
VV2	VV2	1.073
VV2	Xinb3	-0.102357
Xinb3	Xinb3	1.58367
