INDV1	INDV2	RELATEDNESS
AST	AST	1.06812
AST	BB2	-0.00489321
AST	BB6	-0.0131919
AST	BEKN21	-0.102924
AST	BXG9	-0.027947
AST	CHH876	-0.0911247
AST	CZN11	-0.0588522
AST	FRC11	-0.0928828
AST	GBEL7568	-0.0918939
AST	GRK1	-0.0519596
AST	HUH02	-0.0673922
AST	ILM18	-0.0402891
AST	IRGG11	-0.00853298
AST	Iinb1	-0.0664904
AST	MNDM1	-0.214668
AST	MOS0106	0.000859059
AST	MZS19	0.00395261
AST	SEG420	-0.0676193
AST	Spb09	-0.0611573
AST	Spb35	-0.0532076
AST	VOL39	0.0270861
AST	VOL56	0.00622182
AST	VV2	0.0230975
AST	Xinb3	-0.0602997
BB2	BB2	1.04893
BB2	BB6	0.394543
BB2	BEKN21	-0.111167
BB2	BXG9	-0.0469601
BB2	CHH876	-0.0877207
BB2	CZN11	-0.0588391
BB2	FRC11	-0.104232
BB2	GBEL7568	-0.0918771
BB2	GRK1	-0.0494664
BB2	HUH02	-0.0453963
BB2	ILM18	-0.0658588
BB2	IRGG11	-0.0189935
BB2	Iinb1	-0.0679172
BB2	MNDM1	-0.224587
BB2	MOS0106	-0.0238244
BB2	MZS19	-0.0232495
BB2	SEG420	-0.0730358
BB2	Spb09	-0.0794574
BB2	Spb35	-0.0697626
BB2	VOL39	0.0028758
BB2	VOL56	0.0135794
BB2	VV2	0.0417888
BB2	Xinb3	-0.0643469
BB6	BB6	1.2183
BB6	BEKN21	-0.105153
BB6	BXG9	-0.0405686
BB6	CHH876	-0.0849864
BB6	CZN11	-0.0499259
BB6	FRC11	-0.105658
BB6	GBEL7568	-0.0966516
BB6	GRK1	-0.0609614
BB6	HUH02	-0.0612215
BB6	ILM18	-0.0708002
BB6	IRGG11	-0.0411466
BB6	Iinb1	-0.0640495
BB6	MNDM1	-0.244517
BB6	MOS0106	-0.013443
BB6	MZS19	-0.0141991
BB6	SEG420	-0.058824
BB6	Spb09	-0.0783125
BB6	Spb35	-0.0679779
BB6	VOL39	-0.0200613
BB6	VOL56	-0.0161842
BB6	VV2	-0.000519071
BB6	Xinb3	-0.0541331
BEKN21	BEKN21	1.18804
BEKN21	BXG9	-0.0623394
BEKN21	CHH876	0.0833961
BEKN21	CZN11	-0.0101975
BEKN21	FRC11	0.0446761
BEKN21	GBEL7568	0.205556
BEKN21	GRK1	-0.0512693
BEKN21	HUH02	-0.0241449
BEKN21	ILM18	-0.0847192
BEKN21	IRGG11	-0.102018
BEKN21	Iinb1	-0.0174984
BEKN21	MNDM1	-0.235923
BEKN21	MOS0106	-0.0970426
BEKN21	MZS19	-0.0927669
BEKN21	SEG420	-0.0569061
BEKN21	Spb09	-0.0327137
BEKN21	Spb35	-0.0296346
BEKN21	VOL39	-0.114568
BEKN21	VOL56	-0.119991
BEKN21	VV2	-0.118575
BEKN21	Xinb3	-0.0580483
BXG9	BXG9	1.28348
BXG9	CHH876	-0.0364996
BXG9	CZN11	-0.0105224
BXG9	FRC11	-0.0677787
BXG9	GBEL7568	-0.0468402
BXG9	GRK1	-0.041974
BXG9	HUH02	-0.02923
BXG9	ILM18	-0.0693863
BXG9	IRGG11	-0.0677145
BXG9	Iinb1	0.000417261
BXG9	MNDM1	-0.257301
BXG9	MOS0106	-0.00366374
BXG9	MZS19	0.000617064
BXG9	SEG420	-0.0414289
BXG9	Spb09	-7.42E-05
BXG9	Spb35	-0.0102857
BXG9	VOL39	-0.0622365
BXG9	VOL56	-0.0614527
BXG9	VV2	-0.0556706
BXG9	Xinb3	-0.0409549
CHH876	CHH876	1.26997
CHH876	CZN11	0.0157278
CHH876	FRC11	-0.00510242
CHH876	GBEL7568	0.0935241
CHH876	GRK1	-0.0448998
CHH876	HUH02	0.0183033
CHH876	ILM18	-0.0815989
CHH876	IRGG11	-0.0825033
